gsis_id,pff_id
00-0023514,2296
00-0023515,2297
00-0023516,2298
00-0023517,2299
00-0023518,2300
00-0023519,2301
00-0023521,2303
00-0023522,2304
00-0023524,2306
00-0023525,2307
00-0023528,2310
00-0023529,2311
00-0023530,2312
00-0023531,2313
00-0023532,2314
00-0023533,2315
00-0023534,2316
00-0023535,2317
00-0023537,2319
00-0023538,2320
00-0023539,2321
00-0023540,2322
00-0023541,2323
00-0023542,2324
00-0023543,2325
00-0023544,2326
00-0023545,2327
00-0023546,2328
00-0023547,2329
00-0023548,2330
00-0023549,2331
00-0023551,2333
00-0022969,2334
00-0023553,2336
00-0023556,2339
00-0023557,2340
00-0023558,2341
00-0023559,2342
00-0023560,2343
00-0023561,2344
00-0023562,2345
00-0023563,2346
00-0023564,2347
00-0023566,2349
00-0023567,2350
00-0023568,2351
00-0023569,2352
00-0023570,2353
00-0023571,2354
00-0023572,2355
00-0023573,2356
00-0023576,2359
00-0023361,2360
00-0023578,2362
00-0023579,2363
00-0023582,2366
00-0023583,2367
00-0023584,2368
00-0023589,2373
00-0023590,2374
00-0023591,2375
00-0023593,2377
00-0023595,2379
00-0023596,2380
00-0023597,2381
00-0023599,2383
00-0023600,2384
00-0023602,2386
00-0023605,2389
00-0023606,2390
00-0023608,2392
00-0023611,2395
00-0023612,2396
00-0023613,2397
00-0023614,2398
00-0023615,2399
00-0023618,2402
00-0023619,2403
00-0023620,2404
00-0023621,2405
00-0023622,2406
00-0023623,2407
00-0023624,2408
00-0023626,2410
00-0023631,2411
00-0023629,2414
00-0023630,2415
00-0023633,2417
00-0023362,2421
00-0023637,2422
00-0023639,2424
00-0023641,2426
00-0023644,2429
00-0023645,2430
00-0023647,2432
00-0023648,2433
00-0023650,2435
00-0023652,2437
00-0023655,2440
00-0023656,2441
00-0023657,2442
00-0023659,2444
00-0023662,2447
00-0023663,2448
00-0023665,2450
00-0023666,2451
00-0023670,2455
00-0023673,2458
00-0023674,2459
00-0023676,2461
00-0023680,2465
00-0023679,2466
00-0023682,2467
00-0023683,2468
00-0023259,2476
00-0023005,2488
00-0023217,2494
00-0023158,2495
00-0023404,2496
00-0023693,2498
00-0023369,2502
00-0023218,2506
00-0023013,2512
00-0023219,2515
00-0023053,2517
00-0023408,2523
00-0023008,2526
00-0023701,2532
00-0023258,2533
00-0023177,2539
00-0022979,2540
00-0023176,2544
00-0023179,2552
00-0023180,2553
00-0023429,2554
00-0023068,2560
00-0023173,2561
00-0023251,2574
00-0022975,2575
00-0023114,2577
00-0023313,2578
00-0023215,2588
00-0023213,2594
00-0023174,2596
00-0022997,2597
00-0023074,2599
00-0023252,2607
00-0022984,2609
00-0023075,2611
00-0023241,2617
00-0023051,2619
00-0023084,2627
00-0023136,2628
00-0023159,2630
00-0022998,2632
00-0023714,2636
00-0023222,2640
00-0023210,2644
00-0023195,2659
00-0023102,2666
00-0023297,2671
00-0023384,2674
00-0023234,2682
00-0023347,2683
00-0022999,2686
00-0023086,2693
00-0023287,2694
00-0023047,2707
00-0023119,2708
00-0023354,2711
00-0023310,2718
00-0023299,2720
00-0023382,2723
00-0023288,2730
00-0023344,2732
00-0023016,2737
00-0023023,2748
00-0023188,2756
00-0023199,2758
00-0023379,2761
00-0023090,2762
00-0023391,2776
00-0022973,2780
00-0023108,2789
00-0023376,2790
00-0023378,2793
00-0023351,2806
00-0023192,2810
00-0023186,2817
00-0023316,2824
00-0023722,2829
00-0023003,2831
00-0023367,2832
00-0023063,2835
00-0023064,2837
00-0023318,2840
00-0023107,2842
00-0022970,2848
00-0023255,2854
00-0023696,2855
00-0020820,2861
00-0020490,2864
00-0016193,2866
00-0023727,2868
00-0021281,2877
00-0023034,2880
00-0023726,2890
00-0016878,2892
00-0011075,2893
00-0016691,2895
00-0020339,2907
00-0021272,2910
00-0021287,2911
00-0020728,2912
00-0024201,2935
00-0023737,2939
00-0024495,2945
00-0023750,2946
00-0024217,2947
00-0024218,2948
00-0024219,2949
00-0024220,2950
00-0024221,2951
00-0024222,2952
00-0024223,2953
00-0024224,2954
00-0024225,2955
00-0024226,2956
00-0024227,2957
00-0024228,2958
00-0024229,2959
00-0024230,2960
00-0024231,2961
00-0024232,2962
00-0024233,2963
00-0024234,2964
00-0024235,2965
00-0024236,2966
00-0024237,2967
00-0024238,2968
00-0024239,2969
00-0024240,2970
00-0024241,2971
00-0024242,2972
00-0024243,2973
00-0024244,2974
00-0024245,2975
00-0024246,2976
00-0024247,2977
00-0024248,2978
00-0024249,2979
00-0024250,2980
00-0024251,2981
00-0024252,2982
00-0024253,2983
00-0024254,2984
00-0024255,2985
00-0024256,2986
00-0024257,2987
00-0024258,2988
00-0024259,2989
00-0024260,2990
00-0024261,2991
00-0024262,2992
00-0024263,2993
00-0024264,2994
00-0024265,2995
00-0024266,2996
00-0024267,2997
00-0024268,2998
00-0024269,2999
00-0024270,3000
